----------Calculation 1: 101001010111 * 101000101----------
Step 0051: State=92, Head=21, Tape=BBBBBBBBBBBBBB101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0052: State=92, Head=20, Tape=BBBBBBBBBBBBBB101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0053: State=92, Head=19, Tape=BBBBBBBBBBBBBB101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0054: State=92, Head=18, Tape=BBBBBBBBBBBBBB101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0055: State=92, Head=17, Tape=BBBBBBBBBBBBBB101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0056: State=92, Head=16, Tape=BBBBBBBBBBBBBB101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0057: State=92, Head=15, Tape=BBBBBBBBBBBBBB101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0058: State=92, Head=14, Tape=BBBBBBBBBBBBBB101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0059: State=92, Head=13, Tape=BBBBBBBBBBBBBB101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0060: State=2, Head=12, Tape=BBBBBBBBBBBBBB101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0061: State=3, Head=13, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0062: State=10, Head=14, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0063: State=10, Head=15, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0064: State=10, Head=16, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0065: State=10, Head=17, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0066: State=10, Head=18, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0067: State=10, Head=19, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0068: State=10, Head=20, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0069: State=10, Head=21, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0070: State=10, Head=22, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0071: State=10, Head=23, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0072: State=10, Head=24, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0073: State=10, Head=25, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0074: State=10, Head=26, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
Step 0075: State=11, Head=25, Tape=BBBBBBBBBBBB0B101001010111B101000101BBBBBBBBBBBBBBBBBBBB
